# beta 	 FreeEnergy 	 Energy 	 beta^2*dlnz2 	 mag 
0.649351 -1.56273 -1.10722 1.73055 0.36889 
0.650440 -1.56197 -1.11142 1.70825 0.37071 
0.651530 -1.56122 -1.11616 1.80497 0.37230 
0.652619 -1.56048 -1.12109 1.92044 0.37397 
0.653709 -1.55975 -1.12610 2.03785 0.37575 
0.654798 -1.55903 -1.13201 2.22734 0.37733 
0.655888 -1.55833 -1.13757 2.29966 0.37895 
0.656977 -1.55763 -1.14606 3.00093 0.38269 
0.658067 -1.55696 -1.15327 2.66409 0.38418 
0.659156 -1.55630 -1.16151 2.39718 0.38741 
0.660246 -1.55565 -1.16690 2.37348 0.38862 
0.661335 -1.55501 -1.17330 2.17981 0.39141 
0.662425 -1.55439 -1.17833 2.16897 0.39236 
0.663514 -1.55378 -1.18347 2.01900 0.39417 
0.664604 -1.55317 -1.18865 1.87441 0.39640 
0.665693 -1.55258 -1.19303 1.85453 0.39740 
0.666783 -1.55200 -1.19752 1.78761 0.39892 
0.667872 -1.55142 -1.20189 1.70412 0.40081 
0.668962 -1.55086 -1.20607 1.64469 0.40175 
0.670051 -1.55030 -1.21045 1.50263 0.40320 
0.671141 -1.54975 -1.21411 1.49636 0.40438 
