# beta 	 lnz 	 dlnz 	 beta^2*dlnz2 	 mag 
0.400000 0.87936 -1.10607 0.86140 0.00208 
0.405000 0.88496 -1.13364 0.92633 0.00062 
0.410000 0.89070 -1.16263 1.00109 -0.00313 
0.415000 0.89659 -1.19330 1.08921 0.00421 
0.420000 0.90264 -1.22604 1.19611 0.00582 
0.425000 0.90886 -1.26139 1.33099 -0.00918 
0.430000 0.91526 -1.30039 1.52481 -0.00323 
0.435000 0.92187 -1.34474 1.79678 0.03651 
0.440000 0.92873 -1.40413 3.35301 0.42110 
0.445000 0.93592 -1.46886 1.96858 0.68718 
0.450000 0.94338 -1.51308 1.60343 0.74710 
0.455000 0.95105 -1.55050 1.29430 0.75247 
0.460000 0.95887 -1.58118 1.25312 -0.81406 
0.465000 0.96685 -1.60926 1.13217 0.83176 
0.470000 0.97496 -1.63424 1.05328 0.85218 
0.475000 0.98319 -1.65697 0.97904 -0.86575 
0.480000 0.99152 -1.67772 0.91489 0.87749 
0.485000 0.99996 -1.69676 0.85890 0.88758 
0.490000 1.00849 -1.71430 0.80933 -0.89642 
0.495000 1.01710 -1.73052 0.76506 -0.90423 
0.500000 1.02579 -1.74556 0.72489 0.91131 
